cell	leg	cond	arm	ret_task	served	T	out	wall_s	turns_sent	done_reason	end_marker	verdicts	tests	retained	ret_class	w1_fenced	given	tokenscan	n_leak	field	card_extras	stmt_lines	false_done	run_verdict	cmds	n_meter	cr	inp	think
l7cfss02	C-flash	cells-l7-crc32-flash-salt-stmt-bf	salt-diet	Crc32	-	NO-METER		?	?	UNREAD	NOT-ENDED	INCOMPLETE	-	1.000	UNTOUCHED	COVERED	GIVEN-OK	UNMEASURED(TOKEN-SCAN: no receipt fetched)	?	brownfield	statement	1	?		0	-			
l7cfss03	C-flash	cells-l7-crc32-flash-salt-stmt-bf	salt-diet	Crc32	-	NO-METER		?	?	UNREAD	NOT-ENDED	INCOMPLETE	-	1.000	UNTOUCHED	COVERED	GIVEN-OK	UNMEASURED(TOKEN-SCAN: no receipt fetched)	?	brownfield	statement	1	?		0	-			
l7cpbp01	C-pro	cells-l7-crc32-pro-plain-bare-bf	plain	Crc32	gemini-3.1-pro-high	1125906	12855	197.3	3	LANDED	ENDED 2026-09-19T10:35:05Z LANDED landing-1 40c5626d5e2c	PASS	6/6	0.713	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	5/17	1	952185	160866	6550
l7cpbp02	C-pro	cells-l7-crc32-pro-plain-bare-bf	plain	Crc32	gemini-3.1-pro-high	1312489	15705	256.4	3	LANDED	ENDED 2026-09-19T10:39:44Z LANDED landing-1 2d8a9be27456	PASS	6/6	0.674	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	8/25	1	1121407	175377	8164
l7cpbp03	C-pro	cells-l7-crc32-pro-plain-bare-bf	plain	Crc32	gemini-3.1-pro-high	722895	10822	158.2	3	LANDED	ENDED 2026-09-19T11:14:42Z LANDED landing-1 0ba1b6d23ded	PASS	6/6	0.674	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	4/12	1	607767	104306	6012
l7cpbs01	C-pro	cells-l7-crc32-pro-salt-bare-bf	salt-diet	Crc32	gemini-3.1-pro-high	11391627	68719	1296.9	3	LANDED	ENDED 2026-09-19T11:37:52Z LANDED landing-1 42f26f091dda	PASS	6/6	0.236	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	47/75	1	10554785	768123	25020
l7cpbs02	C-pro	cells-l7-crc32-pro-salt-bare-bf	salt-diet	Crc32	gemini-3.1-pro-high	7486137	45094	1020.5	4	LANDED	ENDED 2026-09-19T12:25:07Z LANDED landing-1 563d4584ca7e	PASS	6/6	0.236	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	31/59	1	6886229	554814	21545
l7cpbs03	C-pro	cells-l7-crc32-pro-salt-bare-bf	salt-diet	Crc32	gemini-3.1-pro-high	9956601	71162	3723.5	3	NO-FIRST-RESULT	ENDED 2026-09-19T13:27:22Z ARM-NOT-RECEIVED phase-1 the subject never echoed its delivery nonce	NOT-SCORED	-	0.289	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	29/45	1	9190820	694619	44563
l7cpsp01	C-pro	cells-l7-crc32-pro-plain-stmt-bf	plain	Crc32	gemini-3.1-pro-high	1594122	12036	182.2	3	LANDED	ENDED 2026-09-19T13:31:37Z LANDED landing-1 8cfeef378d19	PASS	6/6	0.364	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	5/20	1	1391599	190487	6331
l7cpsp02	C-pro	cells-l7-crc32-pro-plain-stmt-bf	plain	Crc32	gemini-3.1-pro-high	994856	10817	159.9	3	LANDED	ENDED 2026-09-19T13:34:56Z LANDED landing-1 794ccbbd34cb	PASS	6/6	0.980	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	5/15	1	838449	145590	6392
l7cpsp03	C-pro	cells-l7-crc32-pro-plain-stmt-bf	plain	Crc32	gemini-3.1-pro-high	1550082	24010	239.8	3	LANDED	ENDED 2026-09-19T13:39:26Z LANDED landing-1 318bd1f6d715	PASS	6/6	0.753	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	3/18	1	1373624	152448	17621
l7cpssa201	C-pro	cells-l7-crc32-pro-salt-stmt-bf-a2	salt-diet	Crc32	gemini-3.1-pro-high	7893713	62805	1084.1	4	LANDED	ENDED 2026-09-19T16:55:47Z LANDED landing-1 8b1ee7cf4199	PASS	6/6	0.246	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	22/51	1	7096129	734779	24663
l7cpssa202	C-pro	cells-l7-crc32-pro-salt-stmt-bf-a2	salt-diet	Crc32	gemini-3.1-pro-high	9538114	99975	1197.0	3	LANDED	ENDED 2026-09-19T17:16:21Z LANDED landing-1 26681a913c75	PASS	6/6	0.224	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	34/61	1	8762207	675932	58186
l7cpssa203	C-pro	cells-l7-crc32-pro-salt-stmt-bf-a2	salt-diet	Crc32	gemini-3.1-pro-high	2619898	24601	883.0	3	LANDED	ENDED 2026-09-19T17:48:03Z LANDED landing-1 ee02f52e96de	PASS	6/6	0.238	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	15/32	1	2303720	291577	13759
l7nffp01	BN-flash	cells-l7-freelist-flash-plain-bare-bf	plain	FreeList	gemini-3.8-flash-high	6360553	83670	553.5	3	LANDED	ENDED 2026-09-18T11:29:50Z LANDED landing-1 ee1054d201c1	PASS	7/7	0.392	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	1/28	1	5853786	423097	60644
l7nffp02	BN-flash	cells-l7-freelist-flash-plain-bare-bf	plain	FreeList	gemini-3.8-flash-high	4649180	74143	350.1	4	LANDED	ENDED 2026-09-18T11:36:08Z LANDED landing-1 41337335342f	PASS	7/7	0.537	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	8/20	1	4204225	370812	55414
l7nffp03	BN-flash	cells-l7-freelist-flash-plain-bare-bf	plain	FreeList	gemini-3.8-flash-high	5334389	75139	647.3	3	LANDED	ENDED 2026-09-18T11:47:16Z LANDED landing-1 191236ffd262	PASS	7/7	0.434	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	2/25	1	4902199	357051	56216
l7nffs01	BN-flash	cells-l7-freelist-flash-salt-bare-bf	salt-diet	FreeList	gemini-3.8-flash-high	22734954	181904	989.9	4	LANDED	ENDED 2026-09-18T12:32:54Z LANDED landing-1 6702d8789d37	PASS	7/7	0.426	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	40/72	1	21147162	1405888	90142
l7nffs02	BN-flash	cells-l7-freelist-flash-salt-bare-bf	salt-diet	FreeList	gemini-3.8-flash-high	21228941	181281	906.0	4	LANDED	ENDED 2026-09-18T12:48:12Z LANDED landing-1 6b371a7d2da3	PASS	7/7	0.466	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	8/107	1	19569547	1478113	85591
l7nffs03	BN-flash	cells-l7-freelist-flash-salt-bare-bf	salt-diet	FreeList	gemini-3.8-flash-high	17804823	107729	688.9	4	LANDED	ENDED 2026-09-18T13:23:53Z LANDED landing-1 62bfea4cb66f	PASS	7/7	0.396	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	10/74	1	16986223	710871	71108
l7nfzp01	BN-flash	cells-l7-lzw-flash-plain-bare-bf	plain	LZW	gemini-3.8-flash-high	6261170	64638	486.7	3	LANDED	ENDED 2026-09-18T13:33:18Z LANDED landing-1 d7fade05832b	PASS	8/8	0.291	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	3/40	1	5295738	900794	46305
l7nfzp02	BN-flash	cells-l7-lzw-flash-plain-bare-bf	plain	LZW	gemini-3.8-flash-high	6555430	71028	494.8	3	LANDED	ENDED 2026-09-18T14:16:39Z LANDED landing-1 16b07ae716b4	PASS	8/8	0.353	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	17/38	1	5786227	698175	46996
l7nfzp03	BN-flash	cells-l7-lzw-flash-plain-bare-bf	plain	LZW	gemini-3.8-flash-high	6776813	67540	403.5	3	LANDED	ENDED 2026-09-18T14:23:48Z LANDED landing-1 e0cc8e2f08eb	PASS	8/8	0.315	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	1/35	1	5974513	734760	48491
l7nfzs01	BN-flash	cells-l7-lzw-flash-salt-bare-bf	salt-diet	LZW	gemini-3.8-flash-high	18064205	134557	854.0	4	LANDED	ENDED 2026-09-18T14:38:51Z LANDED landing-1 a53081eab0af	PASS	8/8	0.586	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	30/65	1	16572846	1356802	102102
l7nfzs02	BN-flash	cells-l7-lzw-flash-salt-bare-bf	salt-diet	LZW	gemini-3.8-flash-high	16854859	121149	1007.4	3	LANDED	ENDED 2026-09-18T15:21:11Z LANDED landing-1 1a189d097d99	PASS	8/8	0.499	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	16/58	1	14763139	1970571	90800
l7nfzs03	BN-flash	cells-l7-lzw-flash-salt-bare-bf	salt-diet	LZW	gemini-3.8-flash-high	17493691	113937	966.2	3	LANDED	ENDED 2026-09-18T15:37:42Z LANDED landing-1 2d63f2064d97	PASS	8/8	0.314	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	8/71	1	16373511	1006243	76023
l7npfp01	BN-pro	cells-l7-freelist-pro-plain-bare-bf	plain	FreeList	gemini-3.1-pro-high	1242018	22449	232.9	3	LANDED	ENDED 2026-09-18T00:51:06Z LANDED landing-1 4018e65bad59	PASS	7/7	0.646	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	3/14	1	1072025	147544	14540
l7npfp02	BN-pro	cells-l7-freelist-pro-plain-bare-bf	plain	FreeList	gemini-3.1-pro-high	2596533	40232	461.5	3	LANDED	ENDED 2026-09-18T00:59:06Z LANDED landing-1 a089ab3deb4e	PASS	7/7	0.690	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	4/20	1	2303180	253121	30761
l7npfp03	BN-pro	cells-l7-freelist-pro-plain-bare-bf	plain	FreeList	gemini-3.1-pro-high	1949814	26378	313.2	3	LANDED	ENDED 2026-09-18T01:04:49Z LANDED landing-1 ed20ea41980c	PASS	7/7	0.775	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	1/17	1	1739281	184155	17162
l7npfs01	BN-pro	cells-l7-freelist-pro-salt-bare-bf	salt-diet	FreeList	gemini-3.1-pro-high	15150465	107906	4381.8	7	LANDED	ENDED 2026-09-18T02:19:30Z LANDED landing-1 67d1834d5cc2	PASS	7/7	0.307	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	2	OK	30/105	1	13640833	1401726	78762
l7npfs02	BN-pro	cells-l7-freelist-pro-salt-bare-bf	salt-diet	FreeList	gemini-3.1-pro-high	12404449	94728	1337.2	7	LANDED	ENDED 2026-09-18T02:42:14Z LANDED landing-1 c49bf3a4a501	SELF-NOT|FAIL	6/7	0.669	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	2	OK	34/88	1	11568486	741235	69905
l7npfs03	BN-pro	cells-l7-freelist-pro-salt-bare-bf	salt-diet	FreeList	gemini-3.1-pro-high	16239561	115589	8249.3	7	LANDED	ENDED 2026-09-18T05:33:26Z PERSIST-INDETERMINATE phase-1 the subject gave NO answer on the final turn, so persistence could not be read (not a half-life measurement)	SELF-NOT|FAIL	6/7	0.640	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	2	OK	54/147	1	14056906	2067066	85139
l7npzp01	BN-pro	cells-l7-lzw-pro-plain-bare-bf	plain	LZW	gemini-3.1-pro-high	1523409	17376	242.2	3	LANDED	ENDED 2026-09-18T05:38:52Z LANDED landing-1 94a85b2bdfe8	PASS	8/8	0.990	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	6/20	1	1311738	194295	11409
l7npzp02	BN-pro	cells-l7-lzw-pro-plain-bare-bf	plain	LZW	gemini-3.1-pro-high	1252000	14570	195.9	4	LANDED	ENDED 2026-09-18T05:42:46Z LANDED landing-1 2a7a55abd1a9	PASS	8/8	0.990	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	4/9	1	1067666	169764	9427
l7npzp03	BN-pro	cells-l7-lzw-pro-plain-bare-bf	plain	LZW	gemini-3.1-pro-high	2097518	17675	242.4	3	LANDED	ENDED 2026-09-18T05:47:13Z LANDED landing-1 95d0912ea52e	PASS	8/8	0.511	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	ERROR(NO-COMMAND-PROVEN-OK)	0/16	1	1895393	184450	11588
l7npzs01	BN-pro	cells-l7-lzw-pro-salt-bare-bf	salt-diet	LZW	gemini-3.1-pro-high	23050944	107186	4716.6	5	LANDED	ENDED 2026-09-18T07:06:37Z LANDED landing-1 c64b76e62193	TRUNCATED|PASS	8/8	0.233	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	28/101	1	20478031	2465727	60167
l7npzs02	BN-pro	cells-l7-lzw-pro-salt-bare-bf	salt-diet	LZW	gemini-3.1-pro-high	26462763	232294	5817.2	6	LANDED	ENDED 2026-09-18T08:43:57Z LANDED landing-1 9b5a7c3f805b	PASS	8/8	0.333	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	1	OK	57/146	1	23020868	3209601	129452
l7npzs03	BN-pro	cells-l7-lzw-pro-salt-bare-bf	salt-diet	LZW	gemini-3.1-pro-high	63868087	211494	9165.1	7	LANDED	ENDED 2026-09-18T11:17:16Z PERSIST-INDETERMINATE phase-1 the subject gave NO answer on the final turn, so persistence could not be read (not a half-life measurement)	TRUNCATED|SELF-NOT|PASS	8/8	0.531	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	73/236	1	59014908	4641685	113878
l7sffp01	BS-flash	cells-l7-freelist-flash-plain-stmt-bf	plain	FreeList	gemini-3.8-flash-high	6354773	67685	341.6	3	LANDED	ENDED 2026-09-19T03:49:46Z LANDED landing-1 a6b2c8d0016c	PASS	7/7	0.830	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	9/37	1	5390965	896123	52805
l7sffp02	BS-flash	cells-l7-freelist-flash-plain-stmt-bf	plain	FreeList	gemini-3.8-flash-high	7756505	92762	430.5	4	LANDED	ENDED 2026-09-19T03:57:26Z LANDED landing-1 66ec8ebdc37b	PASS	7/7	0.791	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	13/42	1	6656418	1007325	71279
l7sffp03	BS-flash	cells-l7-freelist-flash-plain-stmt-bf	plain	FreeList	gemini-3.8-flash-high	8522338	84825	469.1	3	LANDED	ENDED 2026-09-19T04:05:45Z LANDED landing-1 625de454f4b0	PASS	7/7	0.831	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	8/44	1	7747595	689918	63145
l7sffs01	BS-flash	cells-l7-freelist-flash-salt-stmt-bf	salt-diet	FreeList	gemini-3.8-flash-high	34073898	218141	1155.1	4	LANDED	ENDED 2026-09-19T04:59:05Z LANDED landing-1 fb8d06d7951a	PASS	7/7	0.237	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	75/134	1	31843043	2012714	111723
l7sffs02	BS-flash	cells-l7-freelist-flash-salt-stmt-bf	salt-diet	FreeList	gemini-3.8-flash-high	13351194	95483	577.7	4	LANDED	ENDED 2026-09-19T05:09:10Z LANDED landing-1 2453860b7e2f	PASS	7/7	0.383	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	25/74	1	12644567	611144	67117
l7sffs03	BS-flash	cells-l7-freelist-flash-salt-stmt-bf	salt-diet	FreeList	gemini-3.8-flash-high	20084774	126201	676.7	4	LANDED	ENDED 2026-09-19T05:47:07Z LANDED landing-1 5b38ce870f48	PASS	7/7	0.270	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	38/112	1	18534974	1423599	86614
l7sfrp01	BS-flash	cells-l7-lru-flash-plain-stmt-bf	plain	LRU	gemini-3.8-flash-high	4705974	45024	277.6	4	LANDED	ENDED 2026-09-19T05:52:18Z LANDED landing-1 551a7ea34de5	PASS	16/16	0.948	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	8/27	1	4154333	506617	29599
l7sfrp02	BS-flash	cells-l7-lru-flash-plain-stmt-bf	plain	LRU	gemini-3.8-flash-high	3676567	44829	285.8	4	LANDED	ENDED 2026-09-19T05:57:37Z LANDED landing-1 f31e33d6652b	PASS	16/16	0.952	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	14/27	1	3262998	368740	29076
l7sfrp03	BS-flash	cells-l7-lru-flash-plain-stmt-bf	plain	LRU	gemini-3.8-flash-high	4034404	58991	385.6	4	LANDED	ENDED 2026-09-19T06:38:15Z LANDED landing-1 82cf82a36400	PASS	16/16	0.610	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	17/34	1	3573619	401794	35206
l7sfrs01	BS-flash	cells-l7-lru-flash-salt-stmt-bf	salt-diet	LRU	gemini-3.8-flash-high	11378956	92196	922.6	4	LANDED	ENDED 2026-09-19T06:55:31Z LANDED landing-1 5a5287a856c9	PASS	16/16	0.344	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	21/77	1	10710069	576691	55232
l7sfrs02	BS-flash	cells-l7-lru-flash-salt-stmt-bf	salt-diet	LRU	gemini-3.8-flash-high	26417079	125981	841.0	4	LANDED	ENDED 2026-09-19T07:41:51Z LANDED landing-1 6ef0f6174dfa	PASS	16/16	0.188	REPLACED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	31/110	1	24755232	1535866	63094
l7sfrs03	BS-flash	cells-l7-lru-flash-salt-stmt-bf	salt-diet	LRU	gemini-3.8-flash-high	16299438	133012	816.3	4	LANDED	ENDED 2026-09-19T07:55:38Z LANDED landing-1 10dfdf35c09f	PASS	16/16	0.231	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	18/74	1	15245849	920577	75754
l7sfzp01	BS-flash	cells-l7-lzw-flash-plain-stmt-bf	plain	LZW	gemini-3.8-flash-high	6616783	73506	398.0	3	LANDED	ENDED 2026-09-19T08:30:27Z LANDED landing-1 75dd8a9fd06f	PASS	8/8	0.533	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	10/46	1	5997804	545473	52518
l7sfzp02	BS-flash	cells-l7-lzw-flash-plain-stmt-bf	plain	LZW	gemini-3.8-flash-high	5536955	55895	386.9	4	LANDED	ENDED 2026-09-19T08:37:27Z LANDED landing-1 daad7c574c67	PASS	8/8	0.725	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	20/42	1	5048035	433025	36187
l7sfzp03	BS-flash	cells-l7-lzw-flash-plain-stmt-bf	plain	LZW	gemini-3.8-flash-high	5919649	54963	411.7	3	LANDED	ENDED 2026-09-19T08:44:33Z LANDED landing-1 f04eb2f6e9e9	PASS	8/8	0.700	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	7/44	1	5443440	421246	41018
l7sfzs01	BS-flash	cells-l7-lzw-flash-salt-stmt-bf	salt-diet	LZW	gemini-3.8-flash-high	13256712	100662	807.2	3	LANDED	ENDED 2026-09-19T09:33:21Z LANDED landing-1 e08046fd1c51	PASS	8/8	0.459	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	28/69	1	12351746	804304	65616
l7sfzs02	BS-flash	cells-l7-lzw-flash-salt-stmt-bf	salt-diet	LZW	gemini-3.8-flash-high	19555122	165682	864.5	4	LANDED	ENDED 2026-09-19T09:48:00Z LANDED landing-1 f39cf3def059	PASS	8/8	0.193	REPLACED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	28/92	1	18518865	870575	73351
l7sfzs03	BS-flash	cells-l7-lzw-flash-salt-stmt-bf	salt-diet	LZW	gemini-3.8-flash-high	12230282	93661	665.5	4	LANDED	ENDED 2026-09-19T10:27:03Z LANDED landing-1 972d5c8d4a2a	PASS	8/8	0.433	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	55/106	1	11559299	577322	61732
l7spfb01	BS-pro	cells-l7-freelist-pro-salt-stmt-bf-b	salt-diet	FreeList	gemini-3.1-pro-high	8246368	71265	891.7	4	LANDED	ENDED 2026-09-18T18:51:46Z LANDED landing-1 f32529e896ef	FAIL	6/7	0.580	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	35/79	1	7645749	529354	37652
l7spfb02	BS-pro	cells-l7-freelist-pro-salt-stmt-bf-b	salt-diet	FreeList	gemini-3.1-pro-high	29441260	172190	2458.4	5	LANDED	ENDED 2026-09-18T19:58:10Z LANDED landing-1 e64ca3c96af7	TRUNCATED|PASS	7/7	0.693	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	135/236	1	27547198	1721872	65952
l7spfp01	BS-pro	cells-l7-freelist-pro-plain-stmt-bf	plain	FreeList	gemini-3.1-pro-high	1184720	14474	197.5	3	LANDED	ENDED 2026-09-18T18:24:29Z LANDED landing-1 8a964a27e497	PASS	7/7	0.995	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	2/9	1	1035678	134568	9701
l7spfp02	BS-pro	cells-l7-freelist-pro-plain-stmt-bf	plain	FreeList	gemini-3.1-pro-high	1822259	20171	268.0	3	LANDED	ENDED 2026-09-18T18:29:19Z LANDED landing-1 99ea9ee01754	PASS	7/7	0.995	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	2/18	1	1624657	177431	13983
l7spfp03	BS-pro	cells-l7-freelist-pro-plain-stmt-bf	plain	FreeList	gemini-3.1-pro-high	2782794	27598	357.3	3	LANDED	ENDED 2026-09-18T18:35:29Z LANDED landing-1 e2d300f65bb2	FAIL	6/7	1.000	UNTOUCHED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	4/18	1	2528615	226581	17752
l7spfwa201	BS-trip	cells-l7-freelist-pro-salt-stmt-bf-tripwire-a2	salt-diet	FreeList	gemini-3.1-pro-high	14174074	57347	2900.5	5	LANDED	ENDED 2026-09-18T18:13:34Z LANDED landing-1 7588a75e1118	FAIL	6/7	0.287	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	70/146	1	12698318	1418409	34141
l7sprp01	BS-pro	cells-l7-lru-pro-plain-stmt-bf	plain	LRU	gemini-3.1-pro-high	1355238	20042	216.1	3	LANDED	ENDED 2026-09-18T20:16:47Z LANDED landing-1 c31cf27a3a81	PASS	16/16	0.976	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	2/11	1	1194332	140864	14411
